"Year","Mean Gini-Simpson Index, Census Race Assignment","SD Gini-Simpson Index, Census Race Assignment","Mean Gini-Simpson Index, Wikipedia Race Assignment","SD Gini-Simpson Index, Wikipedia Race Assignment","Robust (3 Random Authors) Mean Gini-Simpson Index, Census Race Assignment","Robust (3 Random Authors) SD Gini-Simpson Index, Census Race Assignment","NA"
1970,"Non-Patent-Cited",0.0982685668814579,0.0094006875073636,0.284116191380295,0.0119191760990724,0.0867780709469364,0.00939758935704477
1970,"Patent-Cited",0.0981992337164751,0.0331833958497337,0.351609195402299,0.0450398536315565,0.10727969348659,0.0359418832170378
1971,"Non-Patent-Cited",0.103122225952035,0.0104112205520208,0.286494017266748,0.013274528666899,0.100033568311514,0.0104149341151307
1971,"Patent-Cited",0.071256038647343,0.0332534582703236,0.366280193236715,0.0453640914053032,0.0579710144927536,0.0319119931920684
1972,"Non-Patent-Cited",0.113679806711622,0.0127187954616858,0.312205375566592,0.0158735062522323,0.114507520621058,0.0130911328966183
1972,"Patent-Cited",0.0987654320987654,0.0448140845912608,0.330679012345679,0.0603465668677785,0.0987654320987654,0.0448140845912608
1973,"Non-Patent-Cited",0.105895127118644,0.0120683857832372,0.266433027306968,0.0162199304342925,0.0998116760828625,0.0120985974645642
1973,"Patent-Cited",0.0902777777777778,0.0499324389229099,0.430625,0.0687956147777918,0.0833333333333333,0.0447903208238808
1974,"Non-Patent-Cited",0.105685173751029,0.0104204843965499,0.319948288527489,0.0133310935934388,0.100495399858457,0.010651150854229
1974,"Patent-Cited",0.0964052287581699,0.0436528025409404,0.366013071895425,0.0545629927527497,0.104575163398693,0.0471313892217515
1975,"Non-Patent-Cited",0.119526131737836,0.0105963667325703,0.306768118391935,0.0129489979168776,0.115127175368139,0.0107024246890923
1975,"Patent-Cited",0.0951944444444444,0.0383627794988475,0.0854444444444444,0.0397838457915385,0.111111111111111,0.0441510785688348
1976,"Non-Patent-Cited",0.107167892778623,0.00974585313570284,0.300824529659657,0.0127739984724527,0.09558599695586,0.00974448822959528
1976,"Patent-Cited",0.161080917874396,0.0438829331872221,0.294082125603865,0.0483547901718321,0.173913043478261,0.0462448716068096
1977,"Non-Patent-Cited",0.114112833305365,0.00845126050939314,0.307115411278012,0.0104562788839002,0.111743622180055,0.00856453638717312
1977,"Patent-Cited",0.114173441734417,0.0329282644082616,0.294065040650407,0.0397837019205933,0.0975609756097561,0.0320425609839728
1978,"Non-Patent-Cited",0.0985063500282775,0.00643733124708395,0.302530448491493,0.00842643987960443,0.0897811236581626,0.00647076236540908
1978,"Patent-Cited",0.103998538011696,0.0209794035049814,0.332482131254061,0.0258717332603841,0.0994152046783626,0.0213857125175867
1979,"Non-Patent-Cited",0.105824548701318,0.00761528242700765,0.299234262361199,0.010057761298125,0.102506546950991,0.00790394850822477
